1905,265917
1993,442647
1558,19675
1752,414777
2209,201143
1735,185353
1560,515866
1550,044513
1681,494708
2150,721894
1399,177677
1880,205053
2021,959234
1813,989897
1792,617466
1914,125811
1537,853145
1754,583348
2160,713365
1674,542564
1907,200207
1854,969955
2421,52426
2007,219561
1641,958836
2012,833921
2008,492988
1592,155629
1760,309606
1601,324913
1973,675694
2153,992362
1544,741338
2041,475833
1240,74802
1822,707024
1986,700126
2059,118078
1809,352
1664,412139
2180,635822
1791,156555
1832,652387
1851,316407
1405,633021
1550,063176
1900,798342
1988,567171
1554,301473
1817,074913
1678,751116
2099,725021
1962,306809
2188,075065
2006,284342
1646,913106
1747,348824
1310,832472
1620,285694
1726,175901
1663,866292
1822,210064
1294,240555
2078,3667
2065,052546
2099,914044
1783,098427
1760,730532
1748,182174
1739,116534
1981,793727
1809,070803
2069,45297
1566,949534
1617,873061
1805,866248
2191,925609
2087,254679
1643,652349
1648,49871
1580,549726
1481,805031
1737,731655
2067,040864
1576,061776
1568,532456
2056,450658
1638,097453
1526,646219
1964,349583
1794,88839
1520,730158
1922,164807
1888,336788
1686,656572
1338,65029
1863,451977
1645,010019
1889,35834
1560,439756
