2092,47
1757,73
1784,31
1453,99
1521,29
1569,92
1720,92
1883,60
1815,32
1465,12
1729,55
2107,77
1639,58
1747,21
1667,57
1642,06
2227,79
1584,76
1685,22
1405,43
1909,94
1824,96
2063,97
1469,51
1711,29
1482,72
1708,96
1525,05
1965,48
1795,58
1292,15
1883,17
1867,05
1485,51
1644,01
1689,03
1866,87
2054,30
1491,72
1651,19
1968,58
1824,26
1624,35
1950,71
2205,80
1836,49
1774,85
1330,40
1745,09
1875,55
1928,29
1574,69
1595,80
1915,66
1666,09
1557,72
1621,23
1922,62
1806,29
1955,09
2006,44
1316,61
1884,61
1557,83
1422,01
1854,22
1366,76
1382,94
1564,61
1560,03
1830,85
2129,08
2138,23
1849,87
1958,71
1913,21
1799,67
1765,55
2004,82
2031,83
1883,59
1542,98
1465,97
1522,53
1837,09
2258,81
1542,33
1898,26
1549,68
2158,45
1474,50
1718,59
1408,98
2374,58
1912,30
1846,90
1961,33
2080,07
1969,14
1566,58
