1641,847703
1530,502958
1899,123329
1432,150642
1677,197373
1525,199387
1856,148443
1576,345925
1575,129934
1612,943266
1663,762154
1793,757338
1606,656719
1470,885375
1834,453781
1588,666003
1538,821439
1294,405433
1612,33076
1582,317244
1534,118722
1820,488037
1886,172742
1827,127527
2029,614834
1750,465479
1737,917439
1910,851302
1696,796345
1988,066459
1818,461445
1883,233032
1365,914618
1911,973322
1505,544951
1918,740946
1769,112478
1737,127138
1506,36634
1903,923276
2010,714418
1569,224375
1511,061121
1915,593752
1827,267207
1420,596901
2152,313964
1815,20685
1781,78783
1706,413024
1863,974838
1677,427473
1893,245666
1407,401118
1403,125096
1667,004785
1629,554769
1610,624124
1672,94685
1847,45593
1503,361556
1802,03419
1578,106888
1813,606145
1813,576075
1663,393745
1635,592537
1582,484434
1611,940957
1967,288638
2011,049486
1613,923367
1570,849448
1546,096407
1813,215536
1648,346474
1601,879095
1527,677064
1757,547272
1730,424609
1530,178608
1659,78818
1948,07431
1453,936237
1610,768426
1874,053158
1528,734799
1905,079075
1698,168519
1252,142232
1495,907217
2029,396756
1471,035814
1778,137709
1890,881015
1950,498318
1831,405079
1655,958878
1842,26105
1609,747006
