1716,91
1587,74
1785,81
1579,53
1521,36
1688,93
1453,91
1593,85
1754,21
1824,01
1840,94
1628,69
1774,41
1506,06
1955,94
1957,2
1380,98
1539,7
1616,7
1767,38
1412,54
1630,8
1661,04
1764,11
1799,64
1484,54
1560,51
1447,79
1753,89
1393
1546,46
1543,9
1655,32
1657,65
2296,61
1543,3
1694,87
1887,59
2086,49
1546,01
1994,41
1457,85
1904,75
1822,59
1637,38
1546,18
1645,18
1455,46
1548,67
1653,54
1572,81
1357,11
1742,16
1626,6
1795,75
1734,9
1958,03
1731,74
1417,71
1618,23
1718,83
1773,58
1505,42
1825,92
1572,84
1648,72
2208,38
1672,5
1985,81
1546,17
1792,57
1724,06
1649,88
1846,87
1747,37
1656,7
1825,62
1780,45
1936,98
1463,2
1427,3
1350,04
1780,61
1882,08
1648,11
1450,24
2157,95
1671,55
1555,8
1518,38
1852,99
1810,16
1547,07
1680,92
1662,67
1712,76
1796,77
1619,96
1521,71
1970,17
